"est_codigo","est_codigo_origem","est_ins_codigo","est_municipio","est_nome","est_altitude","est_dt_inst","est_dt_ult_atual","est_dt_inicio_ativ","est_dt_fim_ativ","est_rua","est_cep","est_fone","est_localizacao","est_comentario","est_tipo_estacao","est_modelo","est_geom_sad69","est_geom"
41,31848,1,2311405,"Quixeramobim - Fazenda Normal",233,"2004-05-16",,"2006-01-01","2018-10-20",,,,"EMATERCE - Distrito de Uruquê",,3,1,"01010000A0C31000002386CA0E539743C059B1E4174B7E14C00000000000000000","01010000A0E61000002386CA0E539743C059B1E4174B7E14C00000000000000000"
42,31819,1,2301208,"Aracoiaba",96,"2004-08-05",,"2005-02-06","2019-02-15",,,,,,3,1,"01010000A0C31000002AF28B25BF6043C059B1E4174BBE11C00000000000000000","01010000A0E61000002AF28B25BF6043C059B1E4174BBE11C00000000000000000"
43,31817,1,2300309,"Acopiara",254,"2004-06-18",,"2007-07-22","2019-11-01",,,,,,3,1,"01010000A0C31000007B14AE47E19A43C0AC35F1AC686418C00000000000000000","01010000A0E61000007B14AE47E19A43C0AC35F1AC686418C00000000000000000"
44,32330,1,2301406,"Aratuba",803,"2004-08-05",,"2006-07-01","2017-03-13",,,,,,3,1,"01010000A0C31000003EA0D3063A8543C0741BE8B4818E11C00000000000000000","01010000A0E61000003EA0D3063A8543C0741BE8B4818E11C00000000000000000"
45,31821,1,2301604,"Assaré",452,"2004-06-11",,"2006-01-01",,,,,,,3,1,"01010000A0C31000008BC1166CC1EE43C0D0AAAAAAAA6A1BC00000000000000000","01010000A0E61000008BC1166CC1EE43C0D0AAAAAAAA6A1BC00000000000000000"
46,"B85298F2",1,2302602,"Camocim",19,"2008-05-17",,"2008-05-17",,,,,"Fazenda Dikoko. Contato: Erilson Dikoko","Antigo código de origem: 31824; uma das 23 ET0",1,1,"01010000A0C3100000552301DFBC8244C07561EA72FB0308C00000000000000000","01010000A0E6100000552301DFBC8244C07561EA72FB0308C00000000000000000"
47,31827,1,2303808,"Cedro",274,"2004-05-17",,"2009-08-18","2019-08-11",,,,,,3,1,"01010000A0C31000008BC1166CC19E43C01C73FB830C551AC00000000000000000","01010000A0E61000008BC1166CC19E43C01C73FB830C551AC00000000000000000"
48,31829,1,2304202,"Crato - Santa Fé",909,"2004-06-02",,"2009-01-01","2020-08-10",,,,,,3,1,"01010000A0C3100000962EB73FC8C043C0E76AE259D1C81CC00000000000000000","01010000A0E6100000962EB73FC8C043C0E76AE259D1C81CC00000000000000000"
49,"B852C88E",1,2305266,"Ibaretama",103,"2005-02-06",,"2005-02-06",,,,,"Fazenda Triunfo. Contato: Fancilmo Gomes","Antigo código de origem: 31832; uma das 23 ET0",1,1,"01010000A0C3100000C38B25BF586A43C0741BE8B4814E13C00000000000000000","01010000A0E6100000C38B25BF586A43C0741BE8B4814E13C00000000000000000"
50,"B852DBF8",1,2305506,"Iguatu",219,"2006-08-29",,"2006-08-29",,,,,"IFCE Iguatu. Contato: Alexandre Reub","Antigo código de origem: 31835;  uma das 23 ET0",1,1,"01010000A0C3100000E8E6D5C4B3A243C030555555559519C00000000000000000","01010000A0E6100000E8E6D5C4B3A243C030555555559519C00000000000000000"
51,31837,1,2306108,"Irauçuba",161,"2004-08-26",,"2005-04-09","2019-01-17",,,,,",",3,1,"01010000A0C3100000C7F607192AE343C045CF8A46023E0EC00000000000000000","01010000A0E6100000C7F607192AE343C045CF8A46023E0EC00000000000000000"
52,31840,1,2307205,"Jati",525,"2004-06-06",,"2005-02-06","2020-02-15",,,,,,3,1,"01010000A0C31000002F325476987243C0BF174B7EB1E41EC00000000000000000","01010000A0E61000002F325476987243C0BF174B7EB1E41EC00000000000000000"
53,31842,1,2307502,"Lavras da Mangabeira",304,"2004-05-17",,"2006-01-01",,,,,,,3,1,"01010000A0C31000007B14AE47E18A43C0F0388EE3388E1BC00000000000000000","01010000A0E61000007B14AE47E18A43C0F0388EE3388E1BC00000000000000000"
55,31844,1,2308401,"Missão Velha - Sede",298,"2004-06-04",,"2006-01-01","2020-02-14",,,,,,3,1,"01010000A0C3100000F05297DB1F9443C0C3F5285C8F021DC00000000000000000","01010000A0E6100000F05297DB1F9443C0C3F5285C8F021DC00000000000000000"
56,31845,1,2308500,"Mombaça",278,"2004-05-16",,"2005-04-20","2019-08-08",,,,,,3,1,"01010000A0C31000002F32547698D243C006F0CDAB89E716C00000000000000000","01010000A0E61000002F32547698D243C006F0CDAB89E716C00000000000000000"
57,31847,1,2311306,"Quixadá",196,"2004-08-02",,"2006-01-01","2017-08-27",,,,,,3,1,"01010000A0C3100000076CC1166C8143C04FDA40A70DF413C00000000000000000","01010000A0E6100000076CC1166C8143C04FDA40A70DF413C00000000000000000"
58,31851,1,2312106,"Santana do Cariri",478,"2004-06-09",,"2006-01-01","2019-07-29",,,,,,3,1,"01010000A0C3100000793FC850D9E143C041E8B4814E9B1CC00000000000000000","01010000A0E6100000793FC850D9E143C041E8B4814E9B1CC00000000000000000"
59,31853,1,2300705,"Tabuleiro do Norte",109,"2004-06-06",,"2005-02-06","2019-05-28",,,,,,3,1,"01010000A0C310000029A2DCFE200343C02715B6600BF615C00000000000000000","01010000A0E610000029A2DCFE200343C02715B6600BF615C00000000000000000"
60,"B851B910",1,2313351,"Tejuçuoca",146,"2004-08-01",,"2008-08-07",,,,,,"Antigo código de origem: 31872",3,1,"01010000A0C310000010AD6824E0C343C07902BE79353110C00000000000000000","01010000A0E610000010AD6824E0C343C07902BE79353110C00000000000000000"
61,31858,1,2305605,"Independência",321,"2005-10-10",,"2005-12-19",,,,,"ACUDE JABURU",,3,1,"01010000A0C310000063FB830C953D44C04DD148C037AF15C00000000000000000","01010000A0E610000063FB830C953D44C04DD148C037AF15C00000000000000000"
62,"B8532986",1,2307601,"Russas",86,"2022-03-01",,"2022-04-13",,,,,"Perímetro irrigado de Tabuleiro de Russas.","Antigo código de origem: 31862;  uma das 23 ET0",1,1,"01010000A0C3100000FB1F74DA400F43C054B9AAAAAA2A14C00000000000000000","01010000A0E6100000FB1F74DA400F43C054B9AAAAAA2A14C00000000000000000"
63,31818,1,2306207,"Itaiçaba",38,"2005-12-07",,"2006-01-01","2014-09-14",,,,"FAZENDA ITAUEIRA - TERRENO DO TOM PRADO",,3,1,"01010000A0C3100000EE269E158DEC42C05596FC62C9EF12C00000000000000000","01010000A0E6100000EE269E158DEC42C05596FC62C9EF12C00000000000000000"
64,31863,1,2308104,"Mauriti",374,"2005-11-10",,"2008-06-22",,,,,,,3,1,"01010000A0C3100000A6452301DF6443C0DD933EE993BE1DC00000000000000000","01010000A0E6100000A6452301DF6443C0DD933EE993BE1DC00000000000000000"
65,"B852EE62",1,2312205,"Itatira",413,"2022-03-01",,"2022-04-03",,,,,"DISTRITO DE LAGOA DO MATO - ACAMPAMENTO INB - ITATAIA","Antigo código de origem: 31860; uma das 23 ET0",1,1,"01010000A0C3100000D2C3E4174BE643C0C73D8EE3384E12C00000000000000000","01010000A0E6100000D2C3E4174BE643C0C73D8EE3384E12C00000000000000000"
66,31867,1,2313005,"Solonópole",141,"2005-10-31",,"2005-10-31",,,,,"COGERH/DNOCS - ACUDE RIACHO DO SANGUE",,3,1,"01010000A0C3100000534E1BE8B47943C0E661EA72FBC316C00000000000000000","01010000A0E6100000534E1BE8B47943C0E661EA72FBC316C00000000000000000"
67,31866,1,2312700,"Senador Pompeu",183,"2005-10-31",,"2005-10-31","2019-10-10",,,,"DNOCS - ACUDE PATU",,3,1,"01010000A0C31000007A7EB1E417B343C06D5F2CF9C55216C00000000000000000","01010000A0E61000007A7EB1E417B343C06D5F2CF9C55216C00000000000000000"
68,31861,1,2307403,"Jucás",246,"2005-12-17",,"2008-06-29","2019-09-27",,,,"LOCALIDADE DE PANCHAVATI - MINISTERIO DA AGRICULTURA",,3,1,"01010000A0C310000081EA72FB83C443C043FAA44FFA241AC00000000000000000","01010000A0E610000081EA72FB83C443C043FAA44FFA241AC00000000000000000"
70,"B8510A9E",1,2301257,"Poranga",799,"2005-02-06",,"2005-02-06",,,,,"Próximo ao limite com Ararendá (CE265)","Antigo código de origem: 31859; uma das 23 ET0",1,1,"01010000A0C31000006B5D7EB1E46F44C0DDEC61EA72FB12C00000000000000000","01010000A0E61000006B5D7EB1E46F44C0DDEC61EA72FB12C00000000000000000"
71,31864,1,2310506,"Pedra Branca",517,"2005-10-24",,"2006-07-01",,,,,"LOCALIDADE DE TRAPIA - PROPRIEDADE PREFEITO ANTONIO GOES",,3,1,"01010000A0C3100000B01CC7711CDF43C08DB0055BB00516C00000000000000000","01010000A0E6100000B01CC7711CDF43C08DB0055BB00516C00000000000000000"
72,31869,1,2314003,"Várzea Alegre",344,"2005-10-24",,"2007-04-26",,,,,"COGERH - ACUDE OLHO DAGUA",,3,1,"01010000A0C3100000B41DA62EB7AF43C0686F5E4D3C2B1BC00000000000000000","01010000A0E6100000B41DA62EB7AF43C0686F5E4D3C2B1BC00000000000000000"
73,31870,1,2309508,"Orós - Sede",222,"2007-04-26",,"2008-11-24","2018-10-24",,,,"DNOCS - ACUDE OROS",,3,1,"01010000A0C310000067FC62C92F7643C09D77777777F718C00000000000000000","01010000A0E610000067FC62C92F7643C09D77777777F718C00000000000000000"
74,31868,1,2313203,"Tamboril",316,"2005-12-20",,"2005-12-20","2017-01-09",,,,"DNOCS - ACUDE CARAO",,3,1,"01010000A0C31000004175B9FD412E44C00212F0CDAB4913C00000000000000000","01010000A0E61000004175B9FD412E44C00212F0CDAB4913C00000000000000000"
75,"B852380A",1,2300408,"Aiuaba",585,"2022-03-01",,"2022-04-08",,,,,"IBAMA - ESTACAO ECOLOGICA DE AIUABA","Antigo código de origem: 31855; uma das 23 ET0",1,1,"01010000A0C31000008FC2F5285C2744C0BD055BB005DB1AC00000000000000000","01010000A0E61000008FC2F5285C2744C0BD055BB005DB1AC00000000000000000"
76,31820,1,2301307,"Araripe - Sede",652,"2004-08-01",,"2008-06-19","2018-10-06",,,,"PREFEITURA DE ARARIPE - CAMPO DE POUSO",,3,1,"01010000A0C310000052B81E85EB1144C00DE9933EE9D31CC00000000000000000","01010000A0E610000052B81E85EB1144C00DE9933EE9D31CC00000000000000000"
77,31826,1,2303600,"Catarina",536,"2005-04-19",,"2005-04-19",,,,,"fAZENDA SAO BENTO - PROPRIETARIO -FERNANDO ARAUJO RODRIGUES",,3,1,"01010000A0C3100000329D36D069F343C0A74E1BE8B4C118C00000000000000000","01010000A0E6100000329D36D069F343C0A74E1BE8B4C118C00000000000000000"
78,"B850EB96",1,2307254,"Jericoacoara",20,"2005-12-26",,"2005-12-26",,,,,"SEDE DO IBAMA","Antigo código de origem: 31841; SCD – GOES",3,1,"01010000A0C3100000E97CD2277D4244C0E72DD8822D5806C00000000000000000","01010000A0E6100000E97CD2277D4244C0E72DD8822D5806C00000000000000000"
79,31865,1,2310803,"Pereiro",578,"2005-10-31",,"2005-10-31","2014-10-19",,,,"PREFEITURA - CONJUNTO BELA VISTA",,3,1,"01010000A0C3100000373412F0CD3B43C0295C8FC2F52818C00000000000000000","01010000A0E6100000373412F0CD3B43C0295C8FC2F52818C00000000000000000"
80,31856,1,2302404,"Boa Viagem",293,"2005-10-20",,"2006-01-01",,,,,"FAZENDA HOLANDA - SRA. OSANIR PEREIRA LIMA",,3,1,"01010000A0C310000067FC62C92FDE43C037111111119114C00000000000000000","01010000A0E610000067FC62C92FDE43C037111111119114C00000000000000000"
81,"B8528B84",1,2302800,"Canindé - Cangati",280,"2008-05-21",,"2008-05-21",,,,,"Projeto PRODHAM. Contato: sr. Napoleão","Antigo código de origem: 32329; uma das 23 ET0",1,1,"01010000A0C31000007713CF8A46B243C02263C92F967C12C00000000000000000","01010000A0E61000007713CF8A46B243C02263C92F967C12C00000000000000000"
83,32333,1,2304285,"Eusébio",27,"2004-08-01",,"2010-12-09",,,,,"INPE DO EUSEBIO/INPE - Estr. do Fio, 5624-6140 - Mangabeira",,3,1,"01010000A0C310000066666666663643C0C4FE204365070FC00000000000000000","01010000A0E610000066666666663643C0C4FE204365070FC00000000000000000"
953,2000767,1,2311405,"Paulo Zucá",244,"2008-11-20",,"2008-11-20","2021-09-17","CE-060, Quixeramobim, CE",,,"Bacia Representativa da FUNCEME - Várzea do Meio","Bacia experimental. DEHID. Não tem transmissor.",4,1,"01010000A0C31000006DE4BA29E5C143C08FC536A9680C15C00000000000000000","01010000A0E61000006DE4BA29E5C143C08FC536A9680C15C00000000000000000"
955,"B8518C8A_OLD",1,2304400,"Fortaleza - Defesa Civil Municipal",16,"2013-05-13",,"2013-05-14","2017-12-01","Rua Delmiro de Farias, 1900 - Rodolfo Teófilo",,30662327,"Sede da GFM - Bairro Rodolfo Teófilo","Veja o pluv com código BD 24748.",4,1,"01010000A0C3100000B3B112F3AC4643C09D81919735F10DC00000000000000000","01010000A0E6100000B3B112F3AC4643C09D81919735F10DC00000000000000000"
