"est_codigo","est_codigo_origem","est_ins_codigo","est_municipio","est_nome","est_altitude","est_dt_inst","est_dt_ult_atual","est_dt_inicio_ativ","est_dt_fim_ativ","est_rua","est_cep","est_fone","est_localizacao","est_comentario","est_tipo_estacao","est_modelo","est_geom_sad69","est_geom"
4712,"B850E544",1,2311405,"Quixeramobim - Cuandu",266,"2013-12-01",,"2014-08-12",,,,,,,3,1,"01010000A0C31000004832AB77B8C943C0C11BD2A8C06915C00000000000000000","01010000A0E61000004832AB77B8C943C0C11BD2A8C06915C00000000000000000"
4713,"B8514746",1,2306405,"Itapipoca - INCRA",26,"2014-08-12",,"2014-08-12","2015-10-28",,,,,"Foi furtada",3,1,"01010000A0C31000001D041DAD6AC343C009185DDE1C4E09C00000000000000000","01010000A0E61000001D041DAD6AC343C009185DDE1C4E09C00000000000000000"
4715,"B851CF80",1,2310308,"Parambu",486,"2014-07-01",,"2017-05-24",,,,,,,3,1,"01010000A0C3100000D595CFF23C5844C09BE271512DD218C00000000000000000","01010000A0E6100000D595CFF23C5844C09BE271512DD218C00000000000000000"
4716,"B8512C72",1,2302008,"Barro",372,"2017-05-19",,"2017-05-19",,"Unnamed Road, Barro, CE","63380-000",,,,3,1,"01010000A0C31000000D1CD0D2156043C05C1B2AC6F90B1CC00000000000000000","01010000A0E61000000D1CD0D2156043C05C1B2AC6F90B1CC00000000000000000"
4717,"B8513F04",1,2310605,"Penaforte",505,"2013-01-01",,"2017-05-11",,,,,,,3,1,"01010000A0C31000009D6516A1D88843C02D7AA702EE491FC00000000000000000","01010000A0E61000009D6516A1D88843C02D7AA702EE491FC00000000000000000"
4720,"B8501B12",1,2310902,"Piquet Carneiro - Barra do Serrote",274,"2016-10-20",,"2016-10-20",,"CE-166, Piquet Carneiro, CE","63605-000",,,,1,1,"01010000A0C310000029965B5A0DC143C01CEC4D0CC94917C00000000000000000","01010000A0E610000029965B5A0DC143C01CEC4D0CC94917C00000000000000000"
4721,"B8502E88",1,2310902,"Piquet Carneiro - Olho dágua",264,"2016-10-20",,"2016-10-20",,"Unnamed Road, Piquet Carneiro, CE","63605-000",,"Localidade de Olho dágua em Piquet Carneiro",,1,1,"01010000A0C31000004391EEE714B843C07638BA4A771717C00000000000000000","01010000A0E61000004391EEE714B843C07638BA4A771717C00000000000000000"
4722,"B8503DFE",1,2310902,"Piquet Carneiro - Tataíra",287,"2016-10-20",,"2016-10-20",,,,,"Localidade de Tataíra em Piquet Carneiro",,1,1,"01010000A0C3100000583CF54883AF43C0F25EB532E14717C00000000000000000","01010000A0E6100000583CF54883AF43C0F25EB532E14717C00000000000000000"
4723,"B8504B6E",1,2310902,"Piquet Carneiro - Logradouro",265,"2016-10-20",,"2016-10-20",,"Unnamed Road, Piquet Carneiro, CE","63605-000",,"Localidade de Logradouro em Piquet Carneiro",,1,1,"01010000A0C31000003E213B6F63BB43C087DF4DB7EC7017C00000000000000000","01010000A0E61000003E213B6F63BB43C087DF4DB7EC7017C00000000000000000"
4724,"B8505818",1,2310902,"Piquet Carneiro - Ema dos Marinheiros",320,"2016-10-20",,"2016-10-20",,"Sitio Ema dos Marinheiros, Piquet Carneiro, CE","63605-000",,"Localidade de Ema dos Marinheiros",,1,1,"01010000A0C3100000F50F221972BE43C0653733FAD1D017C00000000000000000","01010000A0E6100000F50F221972BE43C0653733FAD1D017C00000000000000000"
4725,"B8506D82",1,2310902,"Piquet Carneiro - Mororó",305,"2016-10-20",,"2016-10-20",,"Unnamed Road, Piquet Carneiro, CE","63605-000",,"Localização de Mororó em Piquet Carneiro",,1,1,"01010000A0C31000003716140665C443C07D2079E750C617C00000000000000000","01010000A0E61000003716140665C443C07D2079E750C617C00000000000000000"
5724,"B85236D8",1,2309508,"Orós - Palestina",228,"2017-03-28",,"2017-03-28",,,,,,,4,1,"01010000A0C3100000C53A55BE678443C0172EABB0193019C00000000000000000","01010000A0E6100000C53A55BE678443C0172EABB0193019C00000000000000000"
5725,"Não tem",1,2301703,"Aurora",304,"2017-05-12",,"2017-05-12",,,,,,"Antigo código de origem: B8510A9E - ",4,1,"01010000A0C31000007DB262B83A6A43C09FE3A3C519E31BC00000000000000000","01010000A0E61000007DB262B83A6A43C09FE3A3C519E31BC00000000000000000"
5726,"B850CD7A",1,2311405,"Quixeramobim - Cuandu disdrômetro",266,"2017-03-07",,"2017-03-07",,,,,,"Essa estação foi retirada do local mas deve voltar.",5,1,"01010000A0C3100000D369DD06B5C943C05531957EC26915C00000000000000000","01010000A0E6100000D369DD06B5C943C05531957EC26915C00000000000000000"
