Item,Nome,Código,Município,Código do município,Instituição,Macrorregião,Latitude,Longitude,Altitude,Variáveis coletadas,data_inicial,data,data_final,ativo,frequencia,Tipo,Fornecedor,Modelo_do_sensor: radiação,Modelo_do_sensor: dir_vel_vento,modelo_do_sensor: temp_umidade,modelo_do_sensor: pressão,modelo_do_sensor: pluv,modelo_do_sensor: temp_solo,modelo_do_sensor: fluxo calor solo,modelo_do_sensor: umidade_solo,Datalogger,Bateria,Controlador de carga,modelo_do_sensor: supressor de transiente,Tipo da torre,Painel solar,Comunicação,Área,manutencao,n_patrimonio,financiamento,link 
26,Lavras da Mangabeira,53,,2307502,FUNCEME ,Cariri,-6.8888888888889 ,-39.085,303.7,"2, 6, 14, 18, 19, 21, 22, 39, 31, 51, 50",17/05/2004,,27/12/2020 12:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - Cogerh,,,,
27,Limoeiro do Norte,35742,Limoeiro do Norte,2307601,FUNCEME ,Jaguaribana,-5.191334,-37.937417,143,"2, 3, 4, 6, 14, 21, 22,  30, 31, 50, 51, 54",18/09/2020,,05/02/2021 15:00:00 BRT,,1h,,Campbell,SR11,Windsonic Gill,HMP155A Vaisala,,TB4,108L Campbell,HFP01- Hukseflux,,CR1000,"12V, 26Ah",,,Alumínio 10m,20 Watts,Modem Duodigit,,,,,
28,Mauriti,64,Mauriti ,2308104,FUNCEME ,Cariri,-7.436253,-38.788109,373.2,"2, 6, 14, 18, 19, 21, 22, 31, 39, 50, 51",SI,,29/06/2020 15:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
29,Morada Nova (ARUARU),20,Morada Nova,2308708,FUNCEME ,Jaguaribana,-4.5222222222222,-38.368611111111,63.9 m,"2, 6, 14, 18, 19, 21, 22, 31, 39",08/08/2004,,SI,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
30,Pacajus,13,Pacajus,2309607,FUNCEME ,Litoral de Fortaleza,-4.189960,-38.498370,80.5,"2, 3, 4, 6, 9, 14, 17, 18, 19, 21, 22, 30, 31, 39, 51, 52, 54, 100",SI,,20/12/2020 23:53:31 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Pública - Embrapa,,,,
31,Parambu,4715,Parambu ,2310308,FUNCEME ,Sertão Central e Inhamuns,-6.205251,-40.689360,485.7,"2, 3, 4, 6, 9, 14, 17, 22, 54, 100",SI,,13/02/2020 14:52:00 UTC,,1h,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Particular,,,,
32,Pedra Branca,71,Pedra Branca,2310506,FUNCEME ,Sertão Central e Inhamuns,-5.5055555555556,-39.7431,516.7,"2, 6, 14, 18, 19, 21, 22, 31, 31, 50, 51",SI,,12/12/2019 12:00:00 UTC,,,,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
33,Penaforte,4717,Penaforte ,2310605,FUNCEME,Cariri,-7.822197,-39.069111 ,504.6,"2, 3, 4, 6, 9, 14, 17, 22, 30, 31, 51, 52, 54, 100",SI,,20/06/2020 14:51:11 UTC,,1h,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Particular,,,,
34,Piquet Carneiro - Olho d'agua,4721,Piquet Carneiro ,2310902,FUNCEME-SDA,Sertão Central e Inhamuns,-5.772916 ,-39.438138,264.0 ,"2, 3, 4, 6, 14, 17, 22, 23, 30, 37, 50, 51, 54, 55, 56, 57, 58, 100",SI,,SI,,1h,,Campbell,CMP6,Windsonic Gill,HMP 155A Vaisala,61302V YOUNG,PluvDb Dual base,108L Campbell,HFP01- Hukseflux,CS650 Campbell,CR1000 Campbell,"12 V, 55Ah",,Clamper series 900 e 800,Alumínio 10m,20 Watts,TX 321 Campbell,Particular,,,,
35,Piquet Carneiro - Barra do Serrote,4720,Piquet Carneiro ,2310902,FUNCEME-SDA,Sertão Central e Inhamuns,-5.822056,-39.508220,273.4,"2, 3, 4, 6, 14, 17, 22, 23, 30, 37, 50, 51, 54, 55, 56, 57, 58, 100",SI,,,sim,1h,,Campbell,CMP6,Windsonic Gill,HMP 155A Vaisala,61302V YOUNG,PluvDb Dual base,108L Campbell,HFP01- Hukseflux,CS650 Campbell,CR1000 Campbell,"12V, 55Ah",,Clamper series 900 e 800,Alumínio 10m,20 Watts,TX 321 Campbell,Particular,,,,
